City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
567,Sitka,US,57.0531,-135.33,39.09,70,75,14.97,broken clouds
568,Sikonge,TZ,-5.6333,32.7667,66.11,77,56,7.27,broken clouds
569,Kentau,KZ,43.5206,68.5094,66.99,25,3,2.8,clear sky
570,Sipe Sipe,BO,-17.45,-66.3833,61.29,75,36,7.76,scattered clouds
571,La Ronge,CA,55.1001,-105.2842,30.42,64,100,4.61,overcast clouds
572,Neiafu,TO,-18.65,-173.9833,83.08,78,75,6.91,broken clouds
573,Kintampo,GH,8.0563,-1.7306,76.06,82,97,7.14,overcast clouds
574,Garissa,KE,-0.4536,39.6401,81.27,72,43,10.27,scattered clouds
575,Misratah,LY,32.3754,15.0925,59.43,82,95,17.0,overcast clouds
576,Kande,TG,9.9578,1.0447,77.58,65,36,4.88,scattered clouds
577,Samarai,PG,-10.6167,150.6667,79.63,79,100,4.63,overcast clouds
578,Prince Rupert,CA,54.3161,-130.3201,35.69,93,100,26.46,mist
579,Yerbogachen,RU,61.2767,108.0108,20.75,74,100,13.47,overcast clouds
580,Nikki,BJ,9.9401,3.2108,77.92,70,87,8.66,overcast clouds
581,Nyrob,RU,60.733,56.7202,26.15,94,100,11.77,snow
582,Broome,US,42.2506,-75.833,38.39,65,100,1.99,overcast clouds
583,Goderich,CA,43.7501,-81.7165,34.12,100,100,1.14,overcast clouds
584,Campina Verde,BR,-19.5356,-49.4864,68.86,92,61,4.68,broken clouds
585,Yayva,RU,59.3303,57.2641,32.18,92,100,14.36,snow
586,Eston,CA,51.1501,-108.7514,32.92,79,94,7.52,overcast clouds
587,Lenine,UA,45.2986,35.7771,52.54,75,96,18.77,overcast clouds
588,Porbandar,IN,21.6422,69.6093,84.96,48,2,4.18,clear sky
589,Vila Do Maio,CV,15.1333,-23.2167,68.79,79,56,13.56,broken clouds
590,Dhangadhi,NP,28.7079,80.5961,94.64,15,0,6.46,clear sky
591,Shahrud,IR,36.4182,54.9763,65.19,17,3,5.44,clear sky
592,Siuna,NI,13.7332,-84.7773,69.21,94,15,0.74,few clouds
593,Abu Samrah,SY,35.3029,37.1841,64.56,35,100,6.06,overcast clouds
594,Mehamn,NO,71.0357,27.8492,26.58,65,100,15.77,overcast clouds
595,Kjollefjord,NO,70.9457,27.3465,28.45,67,100,14.65,overcast clouds
596,Nome,US,64.5011,-165.4064,8.58,84,1,5.84,clear sky
597,Golden,US,39.7555,-105.2211,54.41,41,81,4.0,broken clouds
598,Rio Grande,BR,-32.035,-52.0986,63.95,79,43,19.53,scattered clouds
599,Cascais,PT,38.6979,-9.4215,50.47,43,57,24.0,broken clouds
600,Faya,SA,18.3851,42.4509,64.51,17,0,5.23,clear sky
601,Djougou,BJ,9.7085,1.666,78.13,59,48,5.5,scattered clouds
602,Taft,IR,31.7471,54.2088,69.75,15,0,0.0,clear sky
603,Alta Floresta,BR,-9.8756,-56.0861,70.2,97,8,2.1,clear sky
604,Ottawa,CA,45.4112,-75.6981,37.17,65,75,4.61,broken clouds
605,Lodja,CD,-3.4833,23.4333,67.55,99,99,1.23,light rain
606,Vredendal,ZA,-31.6683,18.5012,61.99,66,12,3.78,few clouds
607,Cambe,BR,-23.2758,-51.2783,61.72,90,52,10.49,broken clouds
608,Half Moon Bay,US,37.4636,-122.4286,64.17,71,0,12.66,haze
609,Ranong,TH,9.9658,98.6348,80.96,73,97,10.25,overcast clouds
610,Solnechnyy,RU,50.7214,136.6319,40.73,91,100,5.75,overcast clouds
611,Rengasdengklok,ID,-6.1592,107.2981,89.73,55,17,1.95,few clouds
612,Bardiyah,LY,31.7561,25.0865,64.89,42,58,2.71,broken clouds
613,Kamaishi,JP,39.2667,141.8833,49.21,64,15,11.92,few clouds
614,Kiama,AU,-34.6833,150.8667,78.58,48,69,8.99,broken clouds
615,Lazaro Cardenas,MX,17.9583,-102.2,70.34,84,10,4.0,clear sky
616,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,32.59,44,20,22.37,few clouds
617,Tala,EG,30.6803,30.9429,64.56,54,100,7.94,overcast clouds
618,Kiruna,SE,67.8557,20.2251,16.72,86,75,8.05,broken clouds
619,Sur,OM,22.5667,59.5289,87.3,44,53,8.32,broken clouds
620,Moron,AR,-34.6534,-58.6198,65.97,71,0,7.14,clear sky
621,Severo-Yeniseyskiy,RU,60.3725,93.0408,23.07,76,98,9.98,light snow
622,Santa Luzia,BR,-19.7697,-43.8514,65.57,95,82,3.76,broken clouds
623,Barra Patuca,HN,15.8,-84.2833,77.94,80,2,9.26,clear sky
624,Padang,ID,-0.9492,100.3543,86.05,58,6,7.36,clear sky
625,Murindo,CO,6.9848,-76.7544,74.84,97,100,0.98,overcast clouds
626,Ulaanbaatar,MN,47.9077,106.8832,50.13,11,75,4.47,broken clouds
